smiles_1,smiles_2,mol_%_1,mol_%_2,Tg,Tg_predicted_mean,Tg_predicted_std
*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C4=CC=C(C=C4)OC(C=C5)=CC=C5*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC(C=C5)=CC=C5*,50,50,293,316.58704231474627,28.633365385531963
*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)OC(C=C5)=CC=C5*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C5=CC=C(C=C5)*,25,75,289,333.3236973608975,26.352548104681404
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)C1=NN=C(O1)C(C=C9)=CC=C9*,*N1C(=O)C(C=C2)=C(C(C1(=O))=C4)C(C(C3(=O))=C4)=C2C(=O)N3C5=CC=C(C=C5)C6=NN=C(O6)C(C=C7)=CC=C7*,50,50,336,296.9811963851281,28.54696583678001
*N1C(=O)C2=CC(=CC=C2C1=O)OC3=CC=C(C=C3)C(C)(C)C4=CC=C(C=C4)OC(=CC=C6(C7(=O)))C=C6C(=O)N7C8=CC=C(C=C8)C1=NN=C(O1)C(C=C9)=CC=C9*,*N1C(=O)C(C=C2)=C(C(C1(=O))=C4)C(C=C4)=C2C(=O)C(C=C3)=CC=C3C(=O)C(C=C5)=C(C=C7)C(C(C6(=O))=C7)=C5C(=O)N6C8=CC=C(C=C8)C9=NN=C(O9)C(C=C8)=CC=C8*,50,50,227,289.9117902159142,30.722537757970965
*N1C(=O)C(C=C2)=C(C(C1(=O))=C4)C(C(C3=CC=C5C6(=O))=C4)=C2C(=C7)C3=C5C(=C7)C(=O)N6C(C=C8)=CC=C8C9(C1=CC=CC=C1C0=CC=CC=C09)C(C=C3)=CC=C3*,*N1C(=O)C2=CC(=CC=C2C1=O)C(=O)C(=CC=C3(C4(=O)))C=C3C(=O)N4C(C=C8)=CC=C8C9(C1=CC=CC=C1C0=CC=CC=C09)C(C=C3)=CC=C3*,5,95,375,365.6087181417879,25.060934075115185
*N1C(=O)C2CC3(C(C2)C1(=O))C(=O)N(C(=O)C3)C(C=C4)=CC=C4*,*N1C(=O)C2C3C(=O)N(C(=O)CC3C(C2)C1(=O))C(C=C4)=CC=C4*,80,20,317,326.13203672365546,37.47360753997938
*N1C(=O)C2CC3(C(C2)C1(=O))C(=O)N(C(=O)C3)C(C=C4)=CC=C4*,*N1C(=O)C2C3C(=O)N(C(=O)CC3C(C2)C1(=O))C(C=C4)=CC=C4*,60,40,296,324.6459352393177,37.97527367308214
*N1C(=O)C2CC3(C(C2)C1(=O))C(=O)N(C(=O)C3)C(C=C4)=CC=C4*,*N1C(=O)C2C3C(=O)N(C(=O)CC3C(C2)C1(=O))C(C=C4)=CC=C4*,40,60,291,322.7263382992084,38.75110139896481
*N1C(=O)C2CC3(C(C2)C1(=O))C(=O)N(C(=O)C3)C(C=C4)=CC=C4*,*N1C(=O)C2C3C(=O)N(C(=O)CC3C(C2)C1(=O))C(C=C4)=CC=C4*,20,80,286,320.3782006790597,39.86392270585465
*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C5=CC=C(C=C5)OC(=CC7=C8)C=CC7=CC=C8OC5=CC=C(C=C5)*,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C5=CC=C(C=C5)OC(C=C5)=CC=C5*,25,75,313,329.4590899356662,24.059584282284664
*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C5=CC=C(C=C5)OC(=CC7=C8)C=CC7=CC=C8OC5=CC=C(C=C5)*,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C5=CC=C(C=C5)OC(C=C5)=CC=C5*,50,50,318,319.12081465554024,23.288145960145226
*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C5=CC=C(C=C5)OC(=CC7=C8)C=CC7=CC=C8OC5=CC=C(C=C5)*,*N1C(=O)C2=CC(=C3C=C2C1=O)C(=O)N(C3(=O))C5=CC=C(C=C5)OC(C=C5)=CC=C5*,75,25,320,316.72383938546074,20.15807995103024
